Quarter,Ticker,Net Profit Margin %,Operating Margin %,EPS (Basic),P/E Ratio,Return on Equity,EBITDA Margin %,Debt to Equity Ratio,Current Ratio,Working Capital Turnover,USD Exchange Rate,FDI:GDP %,GDP Growth %,Sectoral IIP,Sectoral IIP (Growth Rate),Inflation,Interest Rate,Next Quarter Adj Close,Inter Quarter Gain %
Q1-18,CONCOR.ns,16.092,95.529,5.18,100.687,2.692,22.32,0,2.974,0.736,66.99,2.6,7.56,139.7,8.323,4.791,6.25,511.1396179,3.54
Q2-18,CONCOR.ns,18.441,95.601,6.89,77.713,3.585,25.717,0,2.974,0.855,70.152,2.065,6.49,137.3,6.655,3.854,6.5,450.0769043,-11.95
Q3-18,CONCOR.ns,16.576,95.367,4.51,112.417,2.93,23.332,0,2.974,0.777,72.073,2.141,6.33,141.833,12.507,2.604,6.5,504.6287842,12.12
Q4-18,CONCOR.ns,19.207,94.018,5.78,90.727,3.398,26.404,0.068,2.374,0.67,70.478,1.856,5.84,147.9,12.244,2.465,6.25,483.9219055,-4.1
Q1-19,CONCOR.ns,13.901,95.084,3.74,131.872,2.197,20.513,0.068,2.374,0.599,69.546,3.369,5.39,140.2,0.358,3.072,5.75,561.4657593,16.02
Q2-19,CONCOR.ns,-18.521,95.231,-5.29,-96.749,-3.106,20.782,0.068,2.374,0.635,70.429,2.064,4.61,132.8,-3.277,3.473,5.4,494.2159424,-11.98
Q3-19,CONCOR.ns,11.488,94.123,2.88,204.288,1.693,20.168,0.068,2.374,0.558,71.228,2.618,3.28,136.933,-3.455,5.835,5.15,365.2071228,-26.1
Q4-19,CONCOR.ns,18.773,96.16,4.83,117.391,2.926,27.798,0,2.537,0.895,72.384,2.877,3.01,136.433,-7.753,6.668,4.4,381.6176453,4.49
Q1-14,DLF.ns,6.45,87.911,0.72,194.653,0.381,42.251,0.568,1.788,0.114,59.797,1.956,8.02,117.9,5.803,7.85,8,136.4976044,-15.05
Q2-14,DLF.ns,4.628,88.455,0.61,325,0.319,38.699,0.568,1.788,0.133,60.606,2.088,8.7,114.733,5.389,6.675,8,142.7686005,4.59
Q3-14,DLF.ns,6.203,88.001,0.74,168.581,0.416,39.737,0.568,1.788,0.129,61.933,1.797,5.92,116.6,8.836,4.051,8,107.7973938,-24.5
Q4-14,DLF.ns,9.447,88.848,0.96,176.979,0.633,36.489,0.71,2.038,0.113,62.238,2.345,7.11,118.567,0.339,5.272,7.5,101.5263748,-5.82
Q1-15,DLF.ns,6.506,91.55,0.71,192.183,0.533,36.332,0.71,2.038,0.138,63.471,2.663,7.59,120.467,2.177,5.092,7.25,106.488327,4.89
Q2-15,DLF.ns,10.455,89.129,1.17,98.333,0.732,53.266,0.71,2.038,0.118,64.975,1.915,8.03,117.533,2.44,3.949,6.75,82.65390015,-22.38
Q3-15,DLF.ns,9.256,85.577,0.98,118.878,0.936,40.617,0.71,2.038,0.17,65.924,3.235,7.2,114.933,-1.429,5.339,6.75,120.7053528,46.04
Q4-15,DLF.ns,-7.061,90.889,-1.01,-95.396,-0.747,29.463,0.957,1.763,0.225,67.504,2.531,9.09,125.2,5.595,5.259,6.75,146.4248352,21.31
Q1-16,DLF.ns,15.156,88.194,1.46,88.699,1.176,40.521,0.957,1.763,0.165,66.891,1.33,8.68,126.467,7.601,5.667,6.5,108.7430191,-25.73
Q2-16,DLF.ns,11.268,89.496,1.12,144.018,0.969,49.808,0.957,1.763,0.183,66.962,3.084,9.67,123.033,7.048,5.163,6.5,142.2642365,30.83
Q3-16,DLF.ns,6.101,88.157,0.55,273.636,0.522,45.472,0.957,1.763,0.181,67.425,2.889,8.58,121.433,-3.009,3.749,6.25,169.7809448,19.34
Q4-16,DLF.ns,7.115,90.153,0.76,177.566,0.674,38.48,1.136,2.194,0.138,67.011,1.898,6.29,128.967,-7.683,3.569,6.25,174.9817047,3.06
Q1-17,DLF.ns,5.92,89.103,0.62,300,0.516,45.015,1.136,2.194,0.127,64.458,2.079,6.11,128.733,1.792,2.202,6.25,220.5592194,26.05
Q2-17,DLF.ns,1.473,85.945,0.08,2416.875,0.1,50.519,1.136,2.194,0.098,64.288,2.954,5.32,126.067,2.465,2.976,6,216.1703644,-1.99
Q3-17,DLF.ns,242.663,82.838,22.93,8.781,17.508,40.433,1.136,2.194,0.105,64.729,1.18,6.67,131.767,8.509,4.555,6,200.5487518,-7.23
Q4-17,DLF.ns,2.742,89.826,1.39,179.928,0.107,28.464,0.426,1.724,0.111,64.344,1.575,8.93,139.7,15.966,4.594,6,212.1787872,5.8
Q1-18,DLF.ns,-4.582,91.047,0.97,230,-0.196,26.703,0.426,1.724,0.122,66.99,2.6,7.56,139.7,8.323,4.791,6.25,171.1460419,-19.34
Q2-18,DLF.ns,6.274,93.613,2.1,93.476,0.38,35.992,0.426,1.724,0.173,70.152,2.065,6.49,137.3,6.655,3.854,6.5,158.908371,-7.15
Q3-18,DLF.ns,5.012,93.415,1.88,87.633,0.315,34.711,0.426,1.724,0.179,72.073,2.141,6.33,141.833,12.507,2.604,6.5,184.4765167,16.09
Q4-18,DLF.ns,7.675,93.659,2.43,67.84,0.572,25.495,0.44,1.307,0.315,70.478,1.856,5.84,147.9,12.244,2.465,6.25,162.2370758,-12.06
Q1-19,DLF.ns,11.185,90.287,1.83,94.399,0.443,29.927,0.44,1.307,0.168,69.546,3.369,5.39,140.2,0.358,3.072,5.75,214.3553772,32.12
Q2-19,DLF.ns,10.581,92.395,1.8,98.972,0.541,30.909,0.44,1.307,0.216,70.429,2.064,4.61,132.8,-3.277,3.473,5.4,196.7932739,-8.19
Q3-19,DLF.ns,16.95,90.213,1.67,109.76,0.677,27.963,0.44,1.307,0.169,71.228,2.618,3.28,136.933,-3.455,5.835,5.15,147.7433014,-24.92
Q4-19,DLF.ns,-120.237,90.207,-7.51,-34.68,-5.914,25.748,0.184,1.83,0.13,72.384,2.877,3.01,136.433,-7.753,6.668,4.4,155.294754,5.11
Q1-14,GAIL.ns,4.659,15.172,4.9,21.243,2.295,7.375,0.352,1.188,7.497,59.797,1.956,8.02,117.9,5.803,7.85,8,105.9691772,11.62
Q2-14,GAIL.ns,9.265,21.896,10.27,11.939,4.813,14.75,0.352,1.188,7.905,60.606,2.088,8.7,114.733,5.389,6.675,8,88.27870941,-16.69
Q3-14,GAIL.ns,4.045,14.175,4.76,31.245,2.231,5.859,0.352,1.188,8.395,61.933,1.797,5.92,116.6,8.836,4.051,8,84.40416718,-4.39
Q4-14,GAIL.ns,3.588,22.405,4.03,29.521,1.754,4.565,0.276,1.06,23.604,62.238,2.345,7.11,118.567,0.339,5.272,7.5,64.27175903,-23.85
Q1-15,GAIL.ns,3.1,15.665,3.06,33.116,1.333,6.534,0.276,1.06,20.758,63.471,2.663,7.59,120.467,2.177,5.092,7.25,79.5724411,23.81
Q2-15,GAIL.ns,2.349,14.479,2.6,38.396,1.135,5.883,0.276,1.06,23.319,64.975,1.915,8.03,117.533,2.44,3.949,6.75,66.94660187,-15.87
Q3-15,GAIL.ns,5.059,17.01,5.33,16.276,2.321,8.051,0.276,1.06,22.148,65.924,3.235,7.2,114.933,-1.429,5.339,6.75,81.88536072,22.31
Q4-15,GAIL.ns,7.137,19.493,4.92,21.071,2.721,9.787,0.189,0.988,-92.225,67.504,2.531,9.09,125.2,5.595,5.259,6.75,84.85837555,3.63
Q1-16,GAIL.ns,12.494,22.967,10.53,9.625,4.365,17.435,0.189,0.988,-84.526,66.891,1.33,8.68,126.467,7.601,5.667,6.5,93.88798523,10.64
Q2-16,GAIL.ns,7.798,22.327,7.29,14.728,3.023,12.61,0.189,0.988,-93.792,66.962,3.084,9.67,123.033,7.048,5.163,6.5,115.1293945,22.62
Q3-16,GAIL.ns,8.102,22.821,7.75,15.728,3.214,13.548,0.189,0.988,-95.962,67.425,2.889,8.58,121.433,-3.009,3.749,6.25,125.1408463,8.7
Q4-16,GAIL.ns,1.934,19.612,1.54,85.498,0.682,12.459,0.079,1.09,17.785,67.011,1.898,6.29,128.967,-7.683,3.569,6.25,114.3497009,-8.62
Q1-17,GAIL.ns,8.992,24.488,6.06,26.235,2.688,14.642,0.079,1.09,15.08,64.458,2.079,6.11,128.733,1.792,2.202,6.25,142.5950012,24.7
Q2-17,GAIL.ns,10.553,23.951,7.74,18.253,3.433,16.276,0.079,1.09,16.407,64.288,2.954,5.32,126.067,2.465,2.976,6,139.2767029,-2.33
Q3-17,GAIL.ns,8.757,22.401,7.46,23.385,3.309,13.222,0.079,1.09,19.057,64.729,1.18,6.67,131.767,8.509,4.555,6,144.7366943,3.92
Q4-17,GAIL.ns,6.616,18.978,4.53,39.619,2.532,10.434,0.024,1.021,74.516,64.344,1.575,8.93,139.7,15.966,4.594,6,153.5223694,6.07
Q1-18,GAIL.ns,7.279,19.661,5.58,29.131,3.123,11.471,0.024,1.021,83.536,66.99,2.6,7.56,139.7,8.323,4.791,6.25,142.0554657,-7.47
Q2-18,GAIL.ns,10.184,21.427,8.7,21.56,4.867,15.266,0.024,1.021,93.082,70.152,2.065,6.49,137.3,6.655,3.854,6.5,141.6206665,-0.31
Q3-18,GAIL.ns,8.496,19.18,7.46,25.084,4.169,12.785,0.024,1.021,95.562,72.073,2.141,6.33,141.833,12.507,2.604,6.5,152.3887024,7.6
Q4-18,GAIL.ns,5.981,16.936,4.98,33.348,2.545,11.153,0.02,1.104,19.281,70.478,1.856,5.84,147.9,12.244,2.465,6.25,109.5847931,-28.09
Q1-19,GAIL.ns,7.032,18.347,5.71,31.169,2.92,10.947,0.02,1.104,18.816,69.546,3.369,5.39,140.2,0.358,3.072,5.75,107.1983643,-2.18
Q2-19,GAIL.ns,5.899,14.85,2.36,54.597,2.414,8.664,0.02,1.104,18.537,70.429,2.064,4.61,132.8,-3.277,3.473,5.4,88.78627014,-17.18
Q3-19,GAIL.ns,7.039,19.002,2.77,49.585,2.836,10.67,0.02,1.104,18.257,71.228,2.618,3.28,136.933,-3.455,5.835,5.15,82.86598206,-6.67
Q4-19,GAIL.ns,17.001,20.147,6.69,18.004,6.864,14.009,0.123,0.972,-54.856,72.384,2.877,3.01,136.433,-7.753,6.668,4.4,85.82707977,3.57
Q1-14,GODREJPROP.ns,16.975,96.827,2.29,95.983,2.94,23.542,1.354,1.525,0.153,59.797,1.956,8.02,117.9,5.803,7.85,8,248.8234253,12.76
Q2-14,GODREJPROP.ns,19.34,96.299,2.34,97.65,3.077,23.616,1.354,1.525,0.141,60.606,2.088,8.7,114.733,5.389,6.675,8,296.5729065,19.19
Q3-14,GODREJPROP.ns,12.005,97.651,2.37,103.017,3.153,17.19,1.354,1.525,0.232,61.933,1.797,5.92,116.6,8.836,4.051,8,266.0966187,-10.28
Q4-14,GODREJPROP.ns,10.52,98.301,2.58,108.333,3.85,16.157,1.781,1.478,0.3,62.238,2.345,7.11,118.567,0.339,5.272,7.5,307.1452942,15.43
Q1-15,GODREJPROP.ns,33.901,93.472,2.76,87.663,3.009,47.392,1.781,1.478,0.073,63.471,2.663,7.59,120.467,2.177,5.092,7.25,335.25,9.15
Q2-15,GODREJPROP.ns,8.558,98.915,5.32,50.395,6.692,12.784,1.781,1.478,0.64,64.975,1.915,8.03,117.533,2.44,3.949,6.75,267.3500061,-20.25
Q3-15,GODREJPROP.ns,18.446,96.218,2.61,131.609,3.881,26.854,1.781,1.478,0.172,65.924,3.235,7.2,114.933,-1.429,5.339,6.75,329.5,23.25
Q4-15,GODREJPROP.ns,7.595,97.36,0.83,361.747,2.186,12.385,1.766,1.606,0.23,67.504,2.531,9.09,125.2,5.595,5.259,6.75,359.6499939,9.15
Q1-16,GODREJPROP.ns,17.448,94.606,2.03,167.512,2.321,27.841,1.766,1.606,0.106,66.891,1.33,8.68,126.467,7.601,5.667,6.5,300.6000061,-16.42
Q2-16,GODREJPROP.ns,4.755,95.594,1.1,328.455,0.823,16.227,1.766,1.606,0.138,66.962,3.084,9.67,123.033,7.048,5.163,6.5,364.1000061,21.12
Q3-16,GODREJPROP.ns,14.824,97.065,3.59,100.014,4.217,29.964,1.766,1.606,0.227,67.425,2.889,8.58,121.433,-3.009,3.749,6.25,490.6499939,34.76
Q4-16,GODREJPROP.ns,12.101,96.309,2.9,114.017,2.605,22.248,1.987,1.344,0.267,67.011,1.898,6.29,128.967,-7.683,3.569,6.25,579.5,18.11
Q1-17,GODREJPROP.ns,9.467,93.859,1.08,429.907,1.175,29.97,1.987,1.344,0.154,64.458,2.079,6.11,128.733,1.792,2.202,6.25,728.2000122,25.66
Q2-17,GODREJPROP.ns,9.703,96.638,2.04,255.956,2.384,23.332,1.987,1.344,0.305,64.288,2.954,5.32,126.067,2.465,2.976,6,780.2000122,7.14
Q3-17,GODREJPROP.ns,4.834,96.987,1.2,566.083,1.513,14.237,1.987,1.344,0.389,64.729,1.18,6.67,131.767,8.509,4.555,6,731.0499878,-6.3
Q4-17,GODREJPROP.ns,26.986,88.624,6.54,122.263,6.278,41.368,1.653,1.278,0.429,64.344,1.575,8.93,139.7,15.966,4.594,6,687.7000122,-5.93
Q1-18,GODREJPROP.ns,4.595,96.564,1.56,516.186,2.044,13.405,1.653,1.278,0.82,66.99,2.6,7.56,139.7,8.323,4.791,6.25,663.2000122,-3.56
Q2-18,GODREJPROP.ns,8.694,91.657,0.9,794.167,1.526,20.013,1.653,1.278,0.324,70.152,2.065,6.49,137.3,6.655,3.854,6.5,709.4500122,6.97
Q3-18,GODREJPROP.ns,-0.141,91.105,1.82,329.231,-0.021,14.15,1.653,1.278,0.28,72.073,2.141,6.33,141.833,12.507,2.604,6.5,887.0999756,25.04
Q4-18,GODREJPROP.ns,15.165,91.446,6.83,108.624,6.468,29.746,1.424,1.08,2.578,70.478,1.856,5.84,147.9,12.244,2.465,6.25,900.6500244,1.53
Q1-19,GODREJPROP.ns,15.056,29.333,3.91,212.251,3.878,30.86,1.424,1.08,1.557,69.546,3.369,5.39,140.2,0.358,3.072,5.75,908.7999878,0.9
Q2-19,GODREJPROP.ns,23.002,34.086,1.22,781.107,2.419,59.76,1.424,1.08,0.636,70.429,2.064,4.61,132.8,-3.277,3.473,5.4,1003.049988,10.37
Q3-19,GODREJPROP.ns,18.693,27.903,1.8,554.056,2.898,44.844,1.424,1.08,0.937,71.228,2.618,3.28,136.933,-3.455,5.835,5.15,688.4000244,-31.37
Q4-19,GODREJPROP.ns,11.067,25.026,4.01,269.402,2.677,23.645,0.668,1.451,0.489,72.384,2.877,3.01,136.433,-7.753,6.668,4.4,913.25,32.66
Q1-14,GRASIM.ns,8.77,43.415,53.04,7.641,3.236,14.168,0.423,1.633,1.473,59.797,1.956,8.02,117.9,5.803,7.85,8,526.796875,5.5
Q2-14,GRASIM.ns,6.95,42.596,45.33,10.987,2.529,11.094,0.423,1.633,1.453,60.606,2.088,8.7,114.733,5.389,6.675,8,554.8797607,5.33
Q3-14,GRASIM.ns,5.812,42.875,36.32,14.963,2.121,11.11,0.423,1.633,1.457,61.933,1.797,5.92,116.6,8.836,4.051,8,539.3827515,-2.79
Q4-14,GRASIM.ns,8.301,44.661,55.15,10.91,3.123,14.254,0.409,1.015,43.292,62.238,2.345,7.11,118.567,0.339,5.272,7.5,510.6257019,-5.33
Q1-15,GRASIM.ns,8.801,45.217,54.39,10.223,3.147,14.814,0.409,1.015,41.15,63.471,2.663,7.59,120.467,2.177,5.092,7.25,554.3538818,8.56
Q2-15,GRASIM.ns,8.804,43.552,12.05,47.777,3.072,14.481,0.409,1.015,40.155,64.975,1.915,8.03,117.533,2.44,3.949,6.75,496.3883972,-10.46
Q3-15,GRASIM.ns,9.823,44.404,13.72,41.914,3.569,15.395,0.409,1.015,41.802,65.924,3.235,7.2,114.933,-1.429,5.339,6.75,649.9299927,30.93
Q4-15,GRASIM.ns,10.577,46.407,15.63,33.636,3.646,16.316,0.329,1.042,15.409,67.504,2.531,9.09,125.2,5.595,5.259,6.75,696.5906372,7.18
Q1-16,GRASIM.ns,12.138,48.072,88.93,7.119,3.984,19.743,0.329,1.042,14.674,66.891,1.33,8.68,126.467,7.601,5.667,6.5,649.1170044,-6.82
Q2-16,GRASIM.ns,12.458,46.392,18.12,41.845,3.766,19.884,0.329,1.042,13.515,66.962,3.084,9.67,123.033,7.048,5.163,6.5,743.1360474,14.48
Q3-16,GRASIM.ns,10.813,45.596,15.6,47.93,3.349,16.812,0.329,1.042,13.845,67.425,2.889,8.58,121.433,-3.009,3.749,6.25,866.8543701,16.65
Q4-16,GRASIM.ns,10.655,45.448,16.59,42.513,3.393,16.711,0.253,1.679,1.339,67.011,1.898,6.29,128.967,-7.683,3.569,6.25,1158.025024,33.59
Q1-17,GRASIM.ns,12.687,47.494,19.07,46.916,3.98,20.066,0.253,1.679,1.319,64.458,2.079,6.11,128.733,1.792,2.202,6.25,1133.511963,-2.12
Q2-17,GRASIM.ns,7.758,50.152,8.19,130.678,3.373,20.158,0.253,1.679,1.828,64.288,2.954,5.32,126.067,2.465,2.976,6,1121.937622,-1.02
Q3-17,GRASIM.ns,7.218,49.641,8.26,148.559,3.517,17.832,0.253,1.679,2.049,64.729,1.18,6.67,131.767,8.509,4.555,6,1012.050598,-9.79
Q4-17,GRASIM.ns,5.755,52.265,10.95,105.941,1.75,17.221,1.069,0.952,-8.535,64.344,1.575,8.93,139.7,15.966,4.594,6,1039.011353,2.66
Q1-18,GRASIM.ns,8.101,50.395,16.98,64.411,2.367,19.893,1.069,0.952,-8.204,66.99,2.6,7.56,139.7,8.323,4.791,6.25,848.0276489,-18.38
Q2-18,GRASIM.ns,-5.804,49.162,-22.33,-45.911,-1.81,17.079,1.069,0.952,-8.758,70.152,2.065,6.49,137.3,6.655,3.854,6.5,760.7040405,-10.3
Q3-18,GRASIM.ns,5.799,49.274,14.57,57.21,1.862,17.399,1.069,0.952,-9.015,72.073,2.141,6.33,141.833,12.507,2.604,6.5,867.460083,14.03
Q4-18,GRASIM.ns,6.388,52.678,17.44,41.342,2.402,19.21,1.309,1.495,0.918,70.478,1.856,5.84,147.9,12.244,2.465,6.25,695.9946289,-19.77
Q1-19,GRASIM.ns,9.216,52.28,18.75,48.064,3.117,23.668,1.309,1.495,0.826,69.546,3.369,5.39,140.2,0.358,3.072,5.75,777.8723755,11.76
Q2-19,GRASIM.ns,5.558,50.433,15.26,51.661,1.837,18.168,1.309,1.495,0.807,70.429,2.064,4.61,132.8,-3.277,3.473,5.4,679.1868286,-12.69
Q3-19,GRASIM.ns,5.214,51.306,10.36,74.204,1.796,16.161,1.309,1.495,0.841,71.228,2.618,3.28,136.933,-3.455,5.835,5.15,582.3294678,-14.26
Q4-19,GRASIM.ns,11.447,55.068,22.94,33.954,4.023,16.72,1.251,1.495,0.863,72.384,2.877,3.01,136.433,-7.753,6.668,4.4,666.9807129,14.54
Q1-14,INDUSTOWER.ns,16.28,40.929,2.44,88.381,2.566,27.119,0.149,1.328,2.058,59.797,1.956,8.02,117.9,5.803,7.85,8,208.6038513,17.78
Q2-14,INDUSTOWER.ns,15.877,40.552,2.46,104.065,2.579,26.852,0.149,1.328,2.121,60.606,2.088,8.7,114.733,5.389,6.675,8,255.5162201,22.49
Q3-14,INDUSTOWER.ns,17.19,41.99,2.68,109.869,2.81,28.422,0.149,1.328,2.135,61.933,1.797,5.92,116.6,8.836,4.051,8,332.8000793,30.25
Q4-14,INDUSTOWER.ns,18.919,44.087,2.94,123.078,3.276,32.1,0.101,1.131,4.428,62.238,2.345,7.11,118.567,0.339,5.272,7.5,277.8256836,-16.52
Q1-15,INDUSTOWER.ns,14.515,38.296,2.34,171.496,1.17,26.055,0.101,1.131,2.061,63.471,2.663,7.59,120.467,2.177,5.092,7.25,273.5974426,-1.52
Q2-15,INDUSTOWER.ns,23.197,37.433,3.12,143.478,1.871,23.736,0.101,1.131,2.063,64.975,1.915,8.03,117.533,2.44,3.949,6.75,251.5939636,-8.04
Q3-15,INDUSTOWER.ns,15.08,38.541,2.61,149.023,1.237,26.349,0.101,1.131,2.098,65.924,3.235,7.2,114.933,-1.429,5.339,6.75,264.1473083,4.99
Q4-15,INDUSTOWER.ns,29.088,40.78,3.79,95.303,2.261,27.692,0,3.915,0.343,67.504,2.531,9.09,125.2,5.595,5.259,6.75,247.3625488,-6.35
Q1-16,INDUSTOWER.ns,32.971,40.699,3.99,93.972,2.626,26.75,0,3.915,0.352,66.891,1.33,8.68,126.467,7.601,5.667,6.5,266.8806458,7.89
Q2-16,INDUSTOWER.ns,32.56,41.081,4.14,95.507,2.671,28.069,0,3.915,0.362,66.962,3.084,9.67,123.033,7.048,5.163,6.5,202.053009,-24.29
Q3-16,INDUSTOWER.ns,20.673,41.137,3.35,103.179,1.734,28.105,0,3.915,0.371,67.425,2.889,8.58,121.433,-3.009,3.749,6.25,260.5898132,28.97
Q4-16,INDUSTOWER.ns,16.782,43.269,3.22,91.242,1.738,30.636,0.018,1.066,5.309,67.011,1.898,6.29,128.967,-7.683,3.569,6.25,276.5594788,6.13
Q1-17,INDUSTOWER.ns,21.533,43.875,3.59,98.802,2.214,31.411,0.018,1.066,5.269,64.458,2.079,6.11,128.733,1.792,2.202,6.25,285.576416,3.26
Q2-17,INDUSTOWER.ns,18.569,42.991,3.45,116.348,1.987,30.446,0.018,1.066,5.485,64.288,2.954,5.32,126.067,2.465,2.976,6,258.0383911,-9.64
Q3-17,INDUSTOWER.ns,15.493,43.536,3.17,139.479,1.696,30.944,0.018,1.066,5.609,64.729,1.18,6.67,131.767,8.509,4.555,6,222.2762299,-13.86
Q4-17,INDUSTOWER.ns,16.577,42.868,3.28,107.18,1.635,32.407,0,4.192,0.289,64.344,1.575,8.93,139.7,15.966,4.594,6,213.5310364,-3.93
Q1-18,INDUSTOWER.ns,20.118,41.391,3.45,90.754,2.012,30.949,0,4.192,0.293,66.99,2.6,7.56,139.7,8.323,4.791,6.25,200.4700317,-6.12
Q2-18,INDUSTOWER.ns,20.974,42.059,3.24,88.472,2.127,30.241,0,4.192,0.297,70.152,2.065,6.49,137.3,6.655,3.854,6.5,235.8511963,17.65
Q3-18,INDUSTOWER.ns,24.85,44.38,3.5,76.929,2.539,33.649,0,4.192,0.299,72.073,2.141,6.33,141.833,12.507,2.604,6.5,216.053009,-8.39
Q4-18,INDUSTOWER.ns,20.51,44.635,3.29,88.83,2.365,36.645,0,2.411,0.669,70.478,1.856,5.84,147.9,12.244,2.465,6.25,206.8151703,-4.28
Q1-19,INDUSTOWER.ns,36.096,44.442,4.8,54.698,4.286,38.408,0,2.411,0.689,69.546,3.369,5.39,140.2,0.358,3.072,5.75,231.5661316,11.97
Q2-19,INDUSTOWER.ns,28.586,40.892,5.21,47.169,3.282,36.732,0,2.411,0.666,70.429,2.064,4.61,132.8,-3.277,3.473,5.4,179.7298584,-22.39
Q3-19,INDUSTOWER.ns,24.802,40.919,4.32,43.912,2.846,34.417,0,2.411,0.666,71.228,2.618,3.28,136.933,-3.455,5.835,5.15,194.8612518,8.42
Q4-19,INDUSTOWER.ns,24.077,39.807,3.51,70.741,2.991,33.036,0.179,1.294,1.495,72.384,2.877,3.01,136.433,-7.753,6.668,4.4,172.448761,-11.5
Q1-14,IOC.ns,2.024,7.982,10.39,4.226,3.823,3.224,1.221,0.995,-167.907,59.797,1.956,8.02,117.9,5.803,7.85,8,37.20177078,4.18
Q2-14,IOC.ns,-0.807,6.637,-3.7,-14.921,-1.361,-0.565,1.221,0.995,-149.912,60.606,2.088,8.7,114.733,5.389,6.675,8,34.01115417,-8.58
Q3-14,IOC.ns,-2.466,5.261,-10.86,-5.589,-3.996,-2.607,1.221,0.995,-144.016,61.933,1.797,5.92,116.6,8.836,4.051,8,36.3098259,6.76
Q4-14,IOC.ns,6.723,17.694,25.89,2.236,9.247,9.798,0.731,0.991,-107.421,62.238,2.345,7.11,118.567,0.339,5.272,7.5,42.24762726,16.35
Q1-15,IOC.ns,5.81,25.905,27.81,2.165,9.697,8.446,0.731,0.991,-130.346,63.471,2.663,7.59,120.467,2.177,5.092,7.25,42.86434555,1.46
Q2-15,IOC.ns,-0.534,10.281,-0.95,-75.675,-0.662,-0.012,0.731,0.991,-96.899,64.975,1.915,8.03,117.533,2.44,3.949,6.75,38.10614014,-11.1
Q3-15,IOC.ns,3.757,14.4,6.53,10.203,4.555,5.841,0.731,0.991,-94.665,65.924,3.235,7.2,114.933,-1.429,5.339,6.75,43.76398849,14.85
Q4-15,IOC.ns,2.558,16.439,4.23,15.851,2.276,5.315,0.482,0.883,-8.362,67.504,2.531,9.09,125.2,5.595,5.259,6.75,60.51861954,38.28
Q1-16,IOC.ns,9.606,23.937,34.9,2.069,9.382,14.776,0.482,0.883,-9.179,66.891,1.33,8.68,126.467,7.601,5.667,6.5,64.51533508,6.6
Q2-16,IOC.ns,3.9,15.141,6.58,13.789,3.542,6.398,0.482,0.883,-8.535,66.962,3.084,9.67,123.033,7.048,5.163,6.5,82.2104187,27.43
Q3-16,IOC.ns,4.313,18.72,8.43,12.792,4.533,7.759,0.482,0.883,-9.878,67.425,2.889,8.58,121.433,-3.009,3.749,6.25,94.92831421,15.47
Q4-16,IOC.ns,3.708,16.407,7.85,15.558,3.731,4.723,0.505,0.721,-2.801,67.011,1.898,6.29,128.967,-7.683,3.569,6.25,101.7245865,7.16
Q1-17,IOC.ns,4.314,14.412,9.6,15.28,4.561,7.119,0.505,0.721,-2.944,64.458,2.079,6.11,128.733,1.792,2.202,6.25,88.24004364,-13.26
Q2-17,IOC.ns,4.081,16.457,7.8,15.712,3.706,6.916,0.505,0.721,-2.529,64.288,2.954,5.32,126.067,2.465,2.976,6,85.0557785,-3.61
Q3-17,IOC.ns,7.123,18.934,16.63,8.328,7.905,11.663,0.505,0.721,-3.09,64.729,1.18,6.67,131.767,8.509,4.555,6,81.92767334,-3.68
Q4-17,IOC.ns,4.446,16.766,5.51,25.263,4.736,7.954,0.504,0.758,-3.575,64.344,1.575,8.93,139.7,15.966,4.594,6,73.19844818,-10.65
Q1-18,IOC.ns,5.276,17.419,7.21,15.007,6.2,8.784,0.504,0.758,-3.944,66.99,2.6,7.56,139.7,8.323,4.791,6.25,64.14389038,-12.37
Q2-18,IOC.ns,2.459,13.904,3.43,31.944,2.947,4.539,0.504,0.758,-4.022,70.152,2.065,6.49,137.3,6.655,3.854,6.5,68.9094162,7.43
Q3-18,IOC.ns,0.512,7.473,0.76,121.447,0.651,1.566,0.504,0.758,-4.264,72.073,2.141,6.33,141.833,12.507,2.604,6.5,82.66729736,19.97
Q4-18,IOC.ns,4.832,15.446,6.46,14.123,5.613,7.827,0.766,0.811,-4.349,70.478,1.856,5.84,147.9,12.244,2.465,6.25,61.71751022,-25.34
Q1-19,IOC.ns,2.734,12.621,3.92,26.879,3.31,5.238,0.766,0.811,-4.532,69.546,3.369,5.39,140.2,0.358,3.072,5.75,66.7660675,8.18
Q2-19,IOC.ns,0.504,11.903,0.61,152.24,0.519,1.901,0.766,0.811,-3.849,70.429,2.064,4.61,132.8,-3.277,3.473,5.4,53.73296356,-19.52
Q3-19,IOC.ns,1.877,12.572,2.55,38.379,2.153,4.04,0.766,0.811,-4.294,71.228,2.618,3.28,136.933,-3.455,5.835,5.15,42.2750206,-21.32
Q4-19,IOC.ns,-4.378,10.725,-5.65,-13.386,-5.53,-0.384,1.202,0.694,-2.533,72.384,2.877,3.01,136.433,-7.753,6.668,4.4,45.74184036,8.2
Q1-14,LT.ns,5.305,75.569,10.42,82.796,2.669,10.461,2.125,1.253,1.093,59.797,1.956,8.02,117.9,5.803,7.85,8,952.0055542,8.43
Q2-14,LT.ns,3.972,71.586,9.29,107.851,2.229,9.453,2.125,1.253,1.219,60.606,2.088,8.7,114.733,5.389,6.675,8,1021.459412,7.3
