Quarter,Ticker,Net Profit Margin %,Operating Margin %,EPS (Basic),P/E Ratio,Return on Equity,EBITDA Margin %,Debt to Equity Ratio,Current Ratio,Working Capital Turnover,USD Exchange Rate,FDI:GDP %,GDP Growth %,Sectoral IIP,Sectoral IIP (Growth Rate),Inflation,Interest Rate,Next Quarter Adj Close,Inter Quarter Gain %
Q3-16,ACC.ns,3.273,51.919,4.84,313.368,0.998,5.678,0,1.005,142.72,67.425,2.889,8.58,121.433,-3.009,3.749,6.25,1462.630737,15.98
Q4-16,ACC.ns,6.743,53.533,11.24,125.756,2.234,9.13,0,1.18,3.595,67.011,1.898,6.29,128.967,-7.683,3.569,6.25,1615.265869,10.44
Q1-17,ACC.ns,9.755,57.475,17.37,93.641,3.454,15.104,0,1.18,3.842,64.458,2.079,6.11,128.733,1.792,2.202,6.25,1506.120483,-6.76
Q2-17,ACC.ns,5.895,52.315,9.67,179.235,1.912,8.693,0,1.18,3.519,64.288,2.954,5.32,126.067,2.465,2.976,6,1465.620728,-2.69
Q3-17,ACC.ns,5.929,51.985,10.95,165.251,2.165,9.665,0,1.18,3.963,64.729,1.18,6.67,131.767,8.509,4.555,6,1223.209106,-16.54
Q4-17,ACC.ns,6.956,54.131,13.33,128.676,2.349,10.993,0,1.42,1.798,64.344,1.575,8.93,139.7,15.966,4.594,6,1511.893555,23.6
Q1-18,ACC.ns,8.672,55.656,17.5,90.694,3.103,13.494,0,1.42,1.905,66.99,2.6,7.56,139.7,8.323,4.791,6.25,1370.506836,-9.35
Q2-18,ACC.ns,6.144,54.358,11.14,137.32,1.963,9.676,0,1.42,1.7,70.152,2.065,6.49,137.3,6.655,3.854,6.5,1312.199219,-4.25
Q3-18,ACC.ns,19.252,51.635,39,35.251,6.926,9.572,0,1.42,1.915,72.073,2.141,6.33,141.833,12.507,2.604,6.5,1555.486084,18.54
Q4-18,ACC.ns,8.905,52.764,18.42,77.272,2.97,14.046,0,1.604,1.357,70.478,1.856,5.84,147.9,12.244,2.465,6.25,1428.629028,-8.16
Q1-19,ACC.ns,11.155,56.037,24.26,67.273,3.923,16.989,0,1.604,1.431,69.546,3.369,5.39,140.2,0.358,3.072,5.75,1430.791138,0.15
Q2-19,ACC.ns,8.645,55.682,16.11,96.859,2.595,13.183,0,1.604,1.221,70.429,2.064,4.61,132.8,-3.277,3.473,5.4,1241.572998,-13.22
Q3-19,ACC.ns,6.761,48.621,14.55,107.77,2.325,11.026,0,1.604,1.4,71.228,2.618,3.28,136.933,-3.455,5.835,5.15,1193.963013,-3.83
Q4-19,ACC.ns,9.344,54.971,17.2,87.477,2.526,14.111,0,1.759,0.942,72.384,2.877,3.01,136.433,-7.753,6.668,4.4,1276.488159,6.91
Q1-14,ADANIPORTS.ns,46.319,82.646,2.74,68.686,6.581,65.383,1.334,2.203,0.384,59.797,1.956,8.02,117.9,5.803,7.85,8,278.4777832,3.01
Q2-14,ADANIPORTS.ns,39.886,82.174,2.77,94.061,6.572,71.166,1.334,2.203,0.445,60.606,2.088,8.7,114.733,5.389,6.675,8,332.206543,19.29
Q3-14,ADANIPORTS.ns,33.382,78.845,2.47,115.648,5.839,54.419,1.334,2.203,0.472,61.933,1.797,5.92,116.6,8.836,4.051,8,310.7150574,-6.47
Q4-14,ADANIPORTS.ns,39.517,81.696,3.19,106.912,6.122,59.88,1.407,1.249,1.23,62.238,2.345,7.11,118.567,0.339,5.272,7.5,342.1135864,10.11
Q1-15,ADANIPORTS.ns,36.588,81.612,3.09,102.767,5.807,59.779,1.407,1.249,1.26,63.471,2.663,7.59,120.467,2.177,5.092,7.25,257.9446716,-24.6
Q2-15,ADANIPORTS.ns,36.55,80.992,3.27,99.388,6.117,58.697,1.407,1.249,1.329,64.975,1.915,8.03,117.533,2.44,3.949,6.75,189.3198547,-26.6
Q3-15,ADANIPORTS.ns,39.465,79.52,3.26,90.874,6.2,56.563,1.407,1.249,1.248,65.924,3.235,7.2,114.933,-1.429,5.339,6.75,184.9405518,-2.31
Q4-15,ADANIPORTS.ns,46.909,82.659,4.39,48.349,6.595,64.252,1.403,0.894,-2.268,67.504,2.531,9.09,125.2,5.595,5.259,6.75,254.2310028,37.47
Q1-16,ADANIPORTS.ns,45.001,80.382,4.04,58.96,6.055,63.059,1.403,0.894,-2.17,66.891,1.33,8.68,126.467,7.601,5.667,6.5,268.6853027,5.69
Q2-16,ADANIPORTS.ns,49.816,83.384,5.26,44.183,8.026,64.48,1.403,0.894,-2.599,66.962,3.084,9.67,123.033,7.048,5.163,6.5,291.7444458,8.58
Q3-16,ADANIPORTS.ns,37.707,81.835,4.1,74.878,6.217,57.047,1.403,0.894,-2.659,67.425,2.889,8.58,121.433,-3.009,3.749,6.25,327.7593079,12.34
Q4-16,ADANIPORTS.ns,52.043,81.655,5.63,52.105,6.564,74.612,1.192,1.816,0.417,67.011,1.898,6.29,128.967,-7.683,3.569,6.25,379.9204102,15.91
Q1-17,ADANIPORTS.ns,25.703,84.924,3.4,96.382,3.988,55.261,1.192,1.816,0.513,64.458,2.079,6.11,128.733,1.792,2.202,6.25,386.071167,1.62
Q2-17,ADANIPORTS.ns,36.844,85.12,4.79,82.651,5.636,64.327,1.192,1.816,0.506,64.288,2.954,5.32,126.067,2.465,2.976,6,396.1109619,2.6
Q3-17,ADANIPORTS.ns,37.228,85.098,4.8,89.656,5.658,71.027,1.192,1.816,0.502,64.729,1.18,6.67,131.767,8.509,4.555,6,380.3965149,-3.97
Q4-17,ADANIPORTS.ns,29.189,86.852,4.48,95.725,4.375,53.949,1,3.565,0.31,64.344,1.575,8.93,139.7,15.966,4.594,6,371.6662598,-2.3
Q1-18,ADANIPORTS.ns,28.925,81.692,3.34,121.946,3.284,48.785,1,3.565,0.235,66.99,2.6,7.56,139.7,8.323,4.791,6.25,356.4787292,-4.09
Q2-18,ADANIPORTS.ns,23.552,81.476,2.92,136.901,2.893,41.998,1,3.565,0.254,70.152,2.065,6.49,137.3,6.655,3.854,6.5,317.677002,-10.88
Q3-18,ADANIPORTS.ns,50.248,83.685,6.8,46.89,6.682,78.384,1,3.565,0.275,72.073,2.141,6.33,141.833,12.507,2.604,6.5,405.9558411,27.79
Q4-18,ADANIPORTS.ns,42.635,83.194,6.21,54.533,5.32,67.977,1.063,1.413,0.72,70.478,1.856,5.84,147.9,12.244,2.465,6.25,356.5274963,-12.18
Q1-19,ADANIPORTS.ns,36.811,81.278,4.94,79.514,4.164,67.21,1.063,1.413,0.653,69.546,3.369,5.39,140.2,0.358,3.072,5.75,372.6633301,4.53
Q2-19,ADANIPORTS.ns,37.544,80.659,5.09,74.175,4.288,49.853,1.063,1.413,0.659,70.429,2.064,4.61,132.8,-3.277,3.473,5.4,333.7924194,-10.43
Q3-19,ADANIPORTS.ns,40.662,83.281,6.66,59.429,5.491,66.131,1.063,1.413,0.78,71.228,2.618,3.28,136.933,-3.455,5.835,5.15,315.8444824,-5.38
Q4-19,ADANIPORTS.ns,11.792,79.453,1.65,223.879,1.348,21.538,1.081,1.926,0.41,72.384,2.877,3.01,136.433,-7.753,6.668,4.4,350.8445435,11.08
Q1-14,AMBUJACEM.ns,15.102,65.471,2.64,74.905,4.045,22.233,0.002,1.905,0.95,59.797,1.956,8.02,117.9,5.803,7.85,8,196.5211792,12.42
Q2-14,AMBUJACEM.ns,10.928,63.628,1.54,134.026,2.366,16.081,0.002,1.905,0.768,60.606,2.088,8.7,114.733,5.389,6.675,8,230.328949,17.2
Q3-14,AMBUJACEM.ns,13.812,58.935,2.12,107.382,3.252,12.405,0.002,1.905,0.835,61.933,1.797,5.92,116.6,8.836,4.051,8,203.1032104,-11.82
Q4-14,AMBUJACEM.ns,13.103,63.576,2.05,121.341,3.082,18.448,0.002,2.03,0.73,62.238,2.345,7.11,118.567,0.339,5.272,7.5,177.1169434,-12.79
